[rosmaster.master][INFO] 2019-06-25 15:16:20,837: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,838: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,839: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,840: +SERVICE [/gazebo/reset_simulation] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,841: +SERVICE [/gazebo/reset_world] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,848: publisherUpdate[/clock] -> http://dc5b429f784e:42391/ ['http://dc5b429f784e:41589/']
[rosmaster.master][INFO] 2019-06-25 15:16:20,849: publisherUpdate[/clock] -> http://dc5b429f784e:41589/ ['http://dc5b429f784e:41589/']
[rosmaster.master][INFO] 2019-06-25 15:16:20,850: publisherUpdate[/clock] -> http://dc5b429f784e:42391/ ['http://dc5b429f784e:41589/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 15:16:20,850: publisherUpdate[/clock] -> http://dc5b429f784e:41589/ ['http://dc5b429f784e:41589/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 15:16:20,876: +SERVICE [/gazebo/set_parameters] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,877: +PUB [/gazebo/parameter_descriptions] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,878: +PUB [/gazebo/parameter_updates] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,902: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,903: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,904: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,905: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,907: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,908: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,909: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,910: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,911: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,912: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,914: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,915: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,916: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,917: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,918: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,921: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,922: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,923: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,924: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,925: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,926: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2019-06-25 15:16:20,927: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
